x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
0.000000000000000000e+00,9.999999999982807500e+14,9.999999999976273750e+14,9.999999999903602500e+14,9.999999999963297500e+14
0.000000000000000000e+00,1.000000000003563375e+15,1.000000000001486375e+15,1.000000000010426375e+15,9.999999999997227500e+14
0.000000000000000000e+00,9.999999999996888750e+14,9.999999999960670000e+14,1.000000000022497875e+15,1.000000000021310875e+15
0.000000000000000000e+00,1.000000000003005000e+15,1.000000000000146375e+15,1.000000000014298000e+15,1.000000000008771000e+15
0.000000000000000000e+00,1.000000000000948875e+15,1.000000000003419000e+15,1.000000000000489125e+15,9.999999999822313750e+14
0.000000000000000000e+00,1.000000000000918625e+15,1.000000000008844500e+15,1.000000000020941625e+15,9.999999999893557500e+14
0.000000000000000000e+00,1.000000000003258000e+15,9.999999999994630000e+14,1.000000000009910500e+15,9.999999999964211250e+14
0.000000000000000000e+00,1.000000000000832750e+15,1.000000000004141875e+15,1.000000000006591250e+15,1.000000000020906625e+15
0.000000000000000000e+00,1.000000000004172875e+15,1.000000000001720375e+15,1.000000000018611250e+15,9.999999999958732500e+14
0.000000000000000000e+00,9.999999999989966250e+14,9.999999999954741250e+14,9.999999999990450000e+14,9.999999999664973750e+14
0.000000000000000000e+00,1.000000000001944375e+15,1.000000000002394500e+15,1.000000000019290750e+15,1.000000000005990250e+15
0.000000000000000000e+00,9.999999999993203750e+14,9.999999999992668750e+14,1.000000000007046000e+15,1.000000000003267250e+15
0.000000000000000000e+00,1.000000000003366750e+15,1.000000000004382125e+15,1.000000000007045375e+15,1.000000000021207750e+15
0.000000000000000000e+00,1.000000000002952250e+15,1.000000000002046125e+15,1.000000000007711500e+15,1.000000000003964625e+15
0.000000000000000000e+00,9.999999999992983750e+14,9.999999999972771250e+14,1.000000000009538125e+15,9.999999999714018750e+14
0.000000000000000000e+00,1.000000000002862000e+15,1.000000000001314500e+15,1.000000000008474250e+15,1.000000000004796625e+15
0.000000000000000000e+00,1.000000000004010500e+15,1.000000000006325250e+15,1.000000000021233250e+15,9.999999999964427500e+14
0.000000000000000000e+00,9.999999999968017500e+14,9.999999999958825000e+14,1.000000000003982375e+15,1.000000000008348375e+15
0.000000000000000000e+00,1.000000000001495750e+15,1.000000000003788000e+15,1.000000000010185875e+15,1.000000000017441250e+15
0.000000000000000000e+00,1.000000000001596375e+15,1.000000000001067000e+15,1.000000000015641125e+15,1.000000000011921250e+15
0.000000000000000000e+00,1.000000000002003875e+15,1.000000000000658000e+15,1.000000000007176000e+15,1.000000000027115875e+15
0.000000000000000000e+00,1.000000000003418375e+15,1.000000000007325000e+15,1.000000000033752000e+15,1.000000000005724750e+15
0.000000000000000000e+00,9.999999999996671250e+14,1.000000000001198500e+15,1.000000000006501125e+15,1.000000000000970375e+15
0.000000000000000000e+00,1.000000000000091250e+15,9.999999999934247500e+14,1.000000000008678750e+15,9.999999999969537500e+14
0.000000000000000000e+00,1.000000000001402875e+15,1.000000000006193750e+15,9.999999999918575000e+14,1.000000000048912500e+15
0.000000000000000000e+00,9.999999999999817500e+14,9.999999999968546250e+14,9.999999999953355000e+14,1.000000000007003750e+15
0.000000000000000000e+00,1.000000000003928000e+15,1.000000000001826875e+15,1.000000000019000875e+15,1.000000000017638625e+15
0.000000000000000000e+00,9.999999999987587500e+14,1.000000000007487500e+15,1.000000000018657750e+15,1.000000000003556375e+15
0.000000000000000000e+00,9.999999999960180000e+14,9.999999999965041250e+14,9.999999999839936250e+14,9.999999999860987500e+14
0.000000000000000000e+00,9.999999999966957500e+14,9.999999999988635000e+14,1.000000000005363750e+15,9.999999999866437500e+14
0.000000000000000000e+00,9.999999999978316250e+14,9.999999999940928750e+14,9.999999999877551250e+14,9.999999999441021250e+14
0.000000000000000000e+00,1.000000000001790375e+15,9.999999999921753750e+14,1.000000000003171375e+15,1.000000000011918500e+15
0.000000000000000000e+00,1.000000000002670250e+15,1.000000000003979500e+15,1.000000000008999375e+15,1.000000000032571125e+15
0.000000000000000000e+00,1.000000000000736500e+15,1.000000000001601000e+15,9.999999999947716250e+14,1.000000000001037000e+15
0.000000000000000000e+00,1.000000000002780125e+15,1.000000000001355000e+15,1.000000000023219250e+15,1.000000000021881875e+15
0.000000000000000000e+00,1.000000000002272875e+15,1.000000000005789500e+15,1.000000000019252625e+15,1.000000000013237625e+15
0.000000000000000000e+00,1.000000000002391500e+15,1.000000000005011750e+15,9.999999999991518750e+14,1.000000000019544500e+15
0.000000000000000000e+00,1.000000000002620500e+15,9.999999999951126250e+14,1.000000000013742875e+15,9.999999999754063750e+14
0.000000000000000000e+00,1.000000000003955000e+15,9.999999999944345000e+14,1.000000000004633500e+15,9.999999999943920000e+14
0.000000000000000000e+00,9.999999999976578750e+14,1.000000000004777750e+15,1.000000000001277750e+15,1.000000000026511250e+15
0.000000000000000000e+00,1.000000000002832375e+15,9.999999999911467500e+14,9.999999999963057500e+14,9.999999999951270000e+14
0.000000000000000000e+00,9.999999999981472500e+14,1.000000000004429375e+15,1.000000000015094125e+15,9.999999999876402500e+14
0.000000000000000000e+00,9.999999999975010000e+14,9.999999999965696250e+14,1.000000000002287250e+15,9.999999999969408750e+14
0.000000000000000000e+00,1.000000000004937500e+15,1.000000000003104125e+15,9.999999999942580000e+14,9.999999999684318750e+14
0.000000000000000000e+00,1.000000000002710625e+15,9.999999999947153750e+14,9.999999999959902500e+14,1.000000000002504875e+15
0.000000000000000000e+00,9.999999999989755000e+14,9.999999999947843750e+14,9.999999999829557500e+14,1.000000000013424875e+15
0.000000000000000000e+00,1.000000000000703750e+15,1.000000000004881875e+15,1.000000000019991375e+15,1.000000000012356750e+15
0.000000000000000000e+00,9.999999999988497500e+14,9.999999999999406250e+14,1.000000000015582875e+15,9.999999999935498750e+14
0.000000000000000000e+00,1.000000000003207750e+15,1.000000000001867000e+15,1.000000000023939875e+15,1.000000000016155250e+15
0.000000000000000000e+00,9.999999999995152500e+14,9.999999999955618750e+14,9.999999999936005000e+14,9.999999999763241250e+14
0.000000000000000000e+00,9.999999999980022500e+14,9.999999999963960000e+14,9.999999999953462500e+14,1.000000000007520000e+15
2.000000000000000164e-05,1.232027004869531648e+19,2.442086227642379878e+19,5.944079467225734349e+19,1.138017228956081357e+20
2.000000000000000164e-05,1.245949927987203072e+19,2.463925340820436992e+19,5.963981356551720960e+19,1.135592811497363538e+20
2.000000000000000164e-05,1.245949935196023603e+19,2.463925349185452851e+19,5.963981335448452301e+19,1.135592813770201498e+20
2.000000000000000164e-05,1.245949927942898688e+19,2.463925340827460813e+19,5.963981356601490637e+19,1.135592811488792412e+20
2.000000000000000164e-05,1.245949924748342272e+19,2.463925339972770611e+19,5.963981361258529587e+19,1.135592810984706048e+20
2.000000000000000164e-05,1.245949927942899507e+19,2.463925340827461222e+19,5.963981356601493094e+19,1.135592811488792248e+20
2.000000000000000164e-05,9.999999999964386250e+14,1.000000000000701875e+15,9.999999999865792500e+14,1.000000000004415375e+15
2.000000000000000164e-05,1.245949927942896435e+19,2.463925340827467366e+19,5.963981356601484902e+19,1.135592811488793231e+20
2.000000000000000164e-05,1.245949927945415680e+19,2.463925340826258637e+19,5.963981356599721984e+19,1.135592811489193984e+20
2.000000000000000164e-05,1.245940162121642598e+19,2.463920372257962394e+19,5.963998019461182259e+19,1.135591717021069476e+20
2.000000000000000164e-05,1.245949927942898688e+19,2.463925340827464909e+19,5.963981356601490637e+19,1.135592811488793559e+20
2.000000000000000164e-05,1.245949927757978829e+19,2.463925340829444915e+19,5.963981356837552128e+19,1.135592811453059072e+20
2.000000000000000164e-05,1.390975352549801984e+19,2.719696500924771942e+19,6.377384876375101440e+19,1.159272613183491277e+20
2.000000000000000164e-05,1.245949927932317491e+19,2.463925340830787174e+19,5.963981356611339878e+19,1.135592811486867128e+20
2.000000000000000164e-05,1.245949927559527014e+19,2.463925341250532557e+19,5.963981356513648640e+19,1.135592811468569641e+20
2.000000000000000164e-05,1.245949927942898893e+19,2.463925340827464909e+19,5.963981356601494733e+19,1.135592811488793559e+20
2.000000000000000164e-05,1.245949927942897459e+19,2.463925340827461632e+19,5.963981356601495552e+19,1.135592811488794214e+20
2.000000000000000164e-05,1.245949927942904627e+19,2.463925340827450573e+19,5.963981356601486541e+19,1.135592811488791921e+20
2.000000000000000164e-05,1.245949741175766221e+19,2.463925268980022067e+19,5.963981681078285926e+19,1.135592776393060024e+20
2.000000000000000164e-05,1.246893288194495283e+19,2.465287768601398477e+19,5.964520562287880602e+19,1.135306399386691338e+20
2.000000000000000164e-05,1.245949927942300877e+19,2.463925340827852390e+19,5.963981356601745408e+19,1.135592811488716718e+20
2.000000000000000164e-05,1.172956555934141235e+19,2.338729460530823168e+19,5.775529878658074214e+19,1.124339315432858092e+20
2.000000000000000164e-05,1.245951744775802470e+19,2.463926160000221594e+19,5.963978352639397069e+19,1.135593053969011180e+20
2.000000000000000164e-05,1.245949927942897869e+19,2.463925340827461222e+19,5.963981356601486541e+19,1.135592811488791593e+20
2.000000000000000164e-05,1.245950153421488947e+19,2.463925488352896614e+19,5.963981047338813850e+19,1.135592818052358144e+20
2.000000000000000164e-05,1.245949927942865920e+19,2.463925340827500954e+19,5.963981356601484083e+19,1.135592811488792084e+20
2.000000000000000164e-05,1.245949927943038976e+19,2.463925340827346534e+19,5.963981356601471795e+19,1.135592811488804864e+20
